DT_PERIODO;SG_UF;DC_CIDADE;PRODUTO;CONCENTRACAO;QDTE_PRODUTO;MARCA;CANAL;CLASSE_TERAPEUTICA;INDICAÇÃO;FORMA_FARMACEUTICA;DC_NACIONAL_MULTINACIONAL;DC_GRMS;DC_ETICO_POPULAR;DC_CONCENTRACAO;PACK_DCT_DISEASE_DESC;PACK_IS_RX_IND;UNIDADES;VALOR
202302;AL;MACEIO;PROD_B;250MG;120;MARCA_A;HOSPITALAR;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;4;33168.16
202302;BA;SALVADOR;PROD_B;250MG;120;MARCA_A;HOSPITALAR;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;1;8292.04
202302;BA;TEIXEIRA DE FREITAS;PROD_B;250MG;120;MARCA_A;OUTROS;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;2;16584.08
202302;BA;TEIXEIRA DE FREITAS;PROD_B;250MG;120;MARCA_A;FARMACIA;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;3;24876.12
202302;BA;VITORIA DA CONQUISTA;PROD_B;250MG;120;MARCA_A;OUTROS;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;1;8292.04
202302;CE;FORTALEZA;PROD_B;250MG;120;MARCA_A;FARMACIA;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;6;16584.08
202302;DF;BRASILIA;PROD_B;250MG;120;MARCA_A;HOSPITALAR;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;1;8292.04
202302;DF;BRASILIA;PROD_B;250MG;120;MARCA_A;HOSPITALAR;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;7;58044.28
202302;DF;BRASILIA;PROD_B;250MG;120;MARCA_A;FARMACIA;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;3;24876.12
202302;DF;BRASILIA;PROD_B;250MG;120;MARCA_A;HOSPITALAR;ANTIANDRÓGENOS NÃO ESTEROIDES;TRATAMENTO DO CÂNCER DE PRÓSTATA METÁTICO RESISTENTE;COMPRIMIDOS ORAIS;MULTINACIONAL;GENERICO;ETICO;MG;CANCER;MEDICAMENTO_PRESCRITO;2;8292.04
